receipt_id,store_id,vendor_id,purchase_order_id,receipt_timestamp,sku_id,quantity_ordered,quantity_received,quantity_damaged_on_arrival,received_by_employee_id
1,1,6,PO-00000001,2024-12-30 00:00:00,114,12,12,0,10001
2,1,2,PO-00000002,2024-12-30 00:00:00,110,12,12,0,10001
3,1,10,PO-00000003,2024-12-30 00:00:00,70,24,24,0,10001
4,1,4,PO-00000004,2024-12-30 00:00:00,112,12,12,0,10001
5,1,2,PO-00000005,2024-12-30 00:00:00,74,24,24,0,10001
6,1,7,PO-00000006,2024-12-30 00:00:00,31,48,48,0,10001
7,1,4,PO-00000007,2024-12-30 00:00:00,52,48,48,0,10001
8,1,8,PO-00000008,2024-12-30 00:00:00,176,24,24,0,10001
9,1,7,PO-00000009,2024-12-30 00:00:00,19,48,47,0,10001
10,1,1,PO-00000010,2024-12-30 00:00:00,85,12,11,0,10001
11,1,11,PO-00000011,2024-12-30 00:00:00,119,48,48,0,10001
12,1,12,PO-00000012,2024-12-30 00:00:00,84,12,12,0,10001
13,1,9,PO-00000013,2024-12-30 00:00:00,9,24,24,0,10001
14,1,8,PO-00000014,2024-12-30 00:00:00,44,24,19,2,10001
15,1,6,PO-00000015,2024-12-30 00:00:00,138,24,24,0,10001
16,1,10,PO-00000016,2024-12-30 00:00:00,106,24,24,0,10001
17,1,8,PO-00000017,2024-12-30 00:00:00,140,48,48,0,10001
18,1,3,PO-00000018,2024-12-30 00:00:00,27,24,19,0,10001
19,1,8,PO-00000019,2024-12-30 00:00:00,128,24,24,1,10001
20,1,1,PO-00000020,2024-12-30 00:00:00,37,24,24,0,10001
21,1,1,PO-00000021,2024-12-30 00:00:00,133,24,24,0,10001
22,1,8,PO-00000022,2024-12-30 00:00:00,8,12,12,0,10001
23,1,6,PO-00000023,2024-12-30 00:00:00,150,24,24,0,10001
24,1,1,PO-00000024,2024-12-30 00:00:00,121,12,12,0,10001
25,1,9,PO-00000025,2024-12-30 00:00:00,21,48,48,0,10001
26,1,12,PO-00000026,2025-01-09 00:00:00,96,24,24,0,10001
27,1,11,PO-00000027,2025-01-09 00:00:00,47,12,12,0,10001
28,1,12,PO-00000028,2025-01-09 00:00:00,120,12,12,0,10001
29,1,5,PO-00000029,2025-01-09 00:00:00,137,24,24,0,10001
30,1,5,PO-00000030,2025-01-09 00:00:00,89,24,24,0,10001
31,1,1,PO-00000031,2025-01-09 00:00:00,61,48,48,0,10001
32,1,9,PO-00000032,2025-01-09 00:00:00,153,12,12,0,10001
33,1,7,PO-00000033,2025-01-09 00:00:00,103,12,12,0,10001
34,1,3,PO-00000034,2025-01-09 00:00:00,15,24,24,0,10001
35,1,4,PO-00000035,2025-01-09 00:00:00,88,24,24,0,10001
36,1,4,PO-00000036,2025-01-09 00:00:00,112,12,12,0,10001
37,1,7,PO-00000037,2025-01-09 00:00:00,19,24,24,2,10001
38,1,5,PO-00000038,2025-01-09 00:00:00,17,12,12,0,10001
39,1,11,PO-00000039,2025-01-09 00:00:00,71,24,24,0,10001
40,1,12,PO-00000040,2025-01-09 00:00:00,144,48,48,0,10001
41,1,7,PO-00000041,2025-01-09 00:00:00,127,24,24,0,10001
42,1,3,PO-00000042,2025-01-09 00:00:00,99,48,48,0,10001
43,1,6,PO-00000043,2025-01-09 00:00:00,150,12,12,0,10001
44,1,12,PO-00000044,2025-01-09 00:00:00,180,24,24,0,10001
45,1,1,PO-00000045,2025-01-09 00:00:00,109,24,24,1,10001
46,1,8,PO-00000046,2025-01-09 00:00:00,152,12,12,0,10001
47,1,11,PO-00000047,2025-01-09 00:00:00,155,24,24,0,10001
